"Station Name","VICTORIA INTL A"
"Province","BRITISH COLUMBIA"
"Latitude","48.65"
"Longitude","-123.43"
"Elevation","19.50"
"Climate Identifier","1018621"
"WMO Identifier","71799"
"TC Identifier","YYJ"
"All times are specified in Local Standard Time (LST). Add 1 hour to adjust for Daylight Saving Time where and when it is observed."

"Legend"
"E","Estimated"
"M","Missing"
"NA","Not Available"

"Date/Time","Year","Month","Day","Time","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"2017-08-01 00:00","2017","08","01","00:00","15.9","","12.3","","79","","25","","5","","48.3","","101.91","","","","","","NA"
"2017-08-01 01:00","2017","08","01","01:00","14.2","","11.9","","86","","26","","7","","48.3","","101.92","","","","","","Mainly Clear"
"2017-08-01 02:00","2017","08","01","02:00","15.8","","13.0","","83","","26","","10","","48.3","","101.90","","","","","","NA"
"2017-08-01 03:00","2017","08","01","03:00","13.6","","11.8","","89","","25","","8","","48.3","","101.91","","","","","","NA"
"2017-08-01 04:00","2017","08","01","04:00","13.7","","11.2","","85","","26","","8","","48.3","","101.93","","","","","","Mainly Clear"
"2017-08-01 05:00","2017","08","01","05:00","13.6","","11.3","","86","","36","","3","","48.3","","101.94","","","","","","NA"
"2017-08-01 06:00","2017","08","01","06:00","16.3","","12.1","","76","","28","","12","","48.3","","101.97","","","","","","NA"
"2017-08-01 07:00","2017","08","01","07:00","18.1","","11.6","","65","","26","","9","","48.3","","101.99","","","","","","Mainly Clear"
"2017-08-01 08:00","2017","08","01","08:00","20.4","","10.2","","51","","28","","6","","80.5","","101.97","","","","","","NA"
"2017-08-01 09:00","2017","08","01","09:00","22.3","","10.6","","47","","27","","8","","32.2","","101.96","","","","","","NA"
"2017-08-01 10:00","2017","08","01","10:00","23.8","","11.9","","47","","17","","5","","32.2","","101.93","","26","","","","Cloudy"
"2017-08-01 11:00","2017","08","01","11:00","24.4","","12.7","","47","","10","","6","","32.2","","101.90","","27","","","","NA"
"2017-08-01 12:00","2017","08","01","12:00","24.7","","13.1","","48","","9","","10","","32.2","","101.85","","28","","","","NA"
"2017-08-01 13:00","2017","08","01","13:00","25.8","","12.9","","44","","9","","10","","32.2","","101.82","","29","","","","Cloudy"
"2017-08-01 14:00","2017","08","01","14:00","25.3","","12.8","","45","","10","","13","","32.2","","101.79","","28","","","","NA"
"2017-08-01 15:00","2017","08","01","15:00","26.1","","13.3","","44","","8","","9","","32.2","","101.72","","29","","","","NA"
"2017-08-01 16:00","2017","08","01","16:00","26.4","","12.9","","43","","10","","9","","24.1","","101.64","","29","","","","Cloudy"
"2017-08-01 17:00","2017","08","01","17:00","25.7","","12.7","","44","","12","","9","","24.1","","101.58","","28","","","","NA"
"2017-08-01 18:00","2017","08","01","18:00","24.4","","12.7","","47","","12","","10","","24.1","","101.56","","27","","","","NA"
"2017-08-01 19:00","2017","08","01","19:00","22.3","","13.0","","55","","8","","7","","24.1","","101.53","","25","","","","Mostly Cloudy"
"2017-08-01 20:00","2017","08","01","20:00","19.3","","13.1","","67","","10","","4","","24.1","","101.54","","","","","","NA"
"2017-08-01 21:00","2017","08","01","21:00","19.1","","12.8","","66","","9","","4","","24.1","","101.56","","","","","","NA"
"2017-08-01 22:00","2017","08","01","22:00","17.5","","13.2","","75","","29","","6","","24.1","","101.56","","","","","","Mostly Cloudy"
"2017-08-01 23:00","2017","08","01","23:00","18.1","","14.2","","78","","36","","7","","24.1","","101.56","","","","","","NA"
"2017-08-02 00:00","2017","08","02","00:00","16.3","","13.2","","82","","21","","3","","24.1","","101.58","","","","","","NA"
"2017-08-02 01:00","2017","08","02","01:00","16.4","","13.6","","83","","36","","1","","24.1","","101.60","","","","","","Mostly Cloudy"
"2017-08-02 02:00","2017","08","02","02:00","16.7","","14.2","","85","","28","","8","","24.1","","101.61","","","","","","NA"
"2017-08-02 03:00","2017","08","02","03:00","17.7","","13.9","","78","","28","","12","","24.1","","101.62","","","","","","NA"
"2017-08-02 04:00","2017","08","02","04:00","17.5","","13.8","","79","","27","","9","","24.1","","101.60","","","","","","Cloudy"
"2017-08-02 05:00","2017","08","02","05:00","18.2","","12.2","","68","","27","","10","","19.3","","101.62","","","","","","NA"
"2017-08-02 06:00","2017","08","02","06:00","19.4","","11.9","","62","","25","","11","","24.1","","101.63","","","","","","NA"
"2017-08-02 07:00","2017","08","02","07:00","20.9","","12.9","","60","","29","","5","","24.1","","101.65","","","","","","Cloudy"
"2017-08-02 08:00","2017","08","02","08:00","23.0","","12.5","","51","","27","","9","","19.3","","101.67","","26","","","","NA"
"2017-08-02 09:00","2017","08","02","09:00","24.4","","12.9","","48","","29","","9","","19.3","","101.65","","27","","","","NA"
"2017-08-02 10:00","2017","08","02","10:00","26.0","","13.2","","45","","27","","4","","16.1","","101.61","","29","","","","Cloudy"
"2017-08-02 11:00","2017","08","02","11:00","25.6","","13.9","","48","","13","","10","","19.3","","101.60","","29","","","","NA"
"2017-08-02 12:00","2017","08","02","12:00","27.0","","14.7","","46","","13","","9","","19.3","","101.54","","31","","","","NA"
"2017-08-02 13:00","2017","08","02","13:00","27.6","","14.2","","43","","6","","8","","16.1","","101.51","","31","","","","Cloudy"
