"Station Name","VICTORIA INTL A"
"Province","BRITISH COLUMBIA"
"Latitude","48.65"
"Longitude","-123.43"
"Elevation","19.50"
"Climate Identifier","1018621"
"WMO Identifier","71799"
"TC Identifier","YYJ"
"All times are specified in Local Standard Time (LST). Add 1 hour to adjust for Daylight Saving Time where and when it is observed."

"Legend"
"E","Estimated"
"M","Missing"
"NA","Not Available"

"Date/Time","Year","Month","Day","Time","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"2017-12-01 00:00","2017","12","01","00:00","7.0","","5.6","","91","","11","","11","","24.1","","101.62","","","","","","NA"
"2017-12-01 01:00","2017","12","01","01:00","7.2","","4.2","","81","","18","","23","","32.2","","101.56","","","","","","Cloudy"
"2017-12-01 02:00","2017","12","01","02:00","7.1","","5.8","","91","","17","","17","","24.1","","101.53","","","","","","Rain"
"2017-12-01 03:00","2017","12","01","03:00","7.1","","6.0","","93","","16","","16","","24.1","","101.49","","","","","","Rain"
"2017-12-01 04:00","2017","12","01","04:00","7.1","","6.0","","93","","19","","17","","19.3","","101.43","","","","","","Rain"
"2017-12-01 05:00","2017","12","01","05:00","6.7","","5.9","","94","","18","","10","","12.9","","101.40","","","","","","Moderate Rain"
"2017-12-01 06:00","2017","12","01","06:00","6.3","","5.4","","94","","17","","21","","19.3","","101.30","","","","","","Rain"
"2017-12-01 07:00","2017","12","01","07:00","6.4","","5.5","","94","","19","","16","","24.1","","101.31","","","","","","Cloudy"
"2017-12-01 08:00","2017","12","01","08:00","6.8","","5.2","","89","","18","","9","","16.1","","101.32","","","","","","Rain"
"2017-12-01 09:00","2017","12","01","09:00","6.8","","5.5","","91","","13","","10","","32.2","","101.30","","","","","","NA"
"2017-12-01 10:00","2017","12","01","10:00","6.8","","5.7","","92","","14","","15","","32.2","","101.29","","","","","","Mostly Cloudy"
"2017-12-01 11:00","2017","12","01","11:00","6.8","","5.8","","94","","15","","13","","12.9","","101.28","","","","","","Rain"
"2017-12-01 12:00","2017","12","01","12:00","6.7","","5.8","","94","","15","","13","","24.1","","101.18","","","","","","Rain"
"2017-12-01 13:00","2017","12","01","13:00","7.0","","5.7","","92","","13","","5","","24.1","","101.13","","","","","","Rain"
"2017-12-01 14:00","2017","12","01","14:00","7.2","","6.0","","92","","13","","7","","19.3","","101.08","","","","","","Rain"
"2017-12-01 15:00","2017","12","01","15:00","7.1","","6.3","","95","","13","","15","","12.9","","101.02","","","","","","Rain"
"2017-12-01 16:00","2017","12","01","16:00","7.1","","6.4","","95","","12","","4","","11.3","","101.00","","","","","","Rain"
"2017-12-01 17:00","2017","12","01","17:00","6.6","","6.2","","97","","31","","3","","12.9","","101.01","","","","","","Rain Showers"
"2017-12-01 18:00","2017","12","01","18:00","6.6","","6.2","","97","","13","","9","","24.1","","100.99","","","","","","Rain Showers"
"2017-12-01 19:00","2017","12","01","19:00","5.8","","5.0","","94","","24","","7","","32.2","","101.00","","","","","","Rain Showers"
"2017-12-01 20:00","2017","12","01","20:00","5.2","","4.2","","93","","16","","11","","32.2","","101.01","","","","","","NA"
"2017-12-01 21:00","2017","12","01","21:00","5.3","","4.0","","91","","16","","14","","32.2","","101.07","","","","","","NA"
"2017-12-01 22:00","2017","12","01","22:00","5.5","","4.0","","90","","16","","15","","32.2","","101.12","","","","","","Mainly Clear"
"2017-12-01 23:00","2017","12","01","23:00","5.8","","3.7","","86","","19","","14","","32.2","","101.13","","","","","","NA"
"2017-12-02 00:00","2017","12","02","00:00","4.5","","3.0","","90","","6","","6","","32.2","","101.17","","","","","","NA"
"2017-12-02 01:00","2017","12","02","01:00","5.8","","4.4","","91","","14","","8","","24.1","","101.17","","","","","","Mostly Cloudy"
"2017-12-02 02:00","2017","12","02","02:00","5.8","","4.7","","93","","12","","7","","24.1","","101.19","","","","","","NA"
"2017-12-02 03:00","2017","12","02","03:00","6.5","","5.7","","95","","14","","15","","32.2","","101.17","","","","","","NA"
"2017-12-02 04:00","2017","12","02","04:00","7.0","","5.6","","91","","13","","13","","24.1","","101.12","","","","","","Cloudy"
"2017-12-02 05:00","2017","12","02","05:00","7.0","","5.5","","90","","14","","16","","24.1","","101.10","","","","","","Rain"
"2017-12-02 06:00","2017","12","02","06:00","7.0","","5.3","","89","","11","","12","","24.1","","101.03","","","","","","Rain"
"2017-12-02 07:00","2017","12","02","07:00","6.9","","5.3","","89","","11","","11","","24.1","","100.99","","","","","","Rain"
"2017-12-02 08:00","2017","12","02","08:00","7.0","","5.6","","91","","11","","14","","8.1","","100.93","","","","","","Rain,Fog"
"2017-12-02 09:00","2017","12","02","09:00","7.3","","6.1","","92","","14","","9","","12.9","","100.93","","","","","","Rain"
"2017-12-02 10:00","2017","12","02","10:00","7.0","","5.9","","93","","17","","9","","24.1","","100.88","","","","","","Rain"
"2017-12-02 11:00","2017","12","02","11:00","7.3","","5.6","","89","","17","","8","","32.2","","100.84","","","","","","NA"
"2017-12-02 12:00","2017","12","02","12:00","7.0","","5.8","","92","","24","","7","","32.2","","100.80","","","","","","NA"
"2017-12-02 13:00","2017","12","02","13:00","7.3","","5.6","","89","","36","","1","","24.1","","100.78","","","","","","Mostly Cloudy"
"2017-12-02 14:00","2017","12","02","14:00","7.5","","5.2","","86","","17","","6","","32.2","","100.72","","","","","","NA"
"2017-12-02 15:00","2017","12","02","15:00","7.3","","5.0","","85","","18","","10","","32.2","","100.71","","","","","","NA"
"2017-12-02 16:00","2017","12","02","16:00","6.5","","5.3","","92","","23","","5","","24.1","","100.74","","","","","","Mostly Cloudy"
"2017-12-02 17:00","2017","12","02","17:00","5.6","","4.9","","95","","25","","7","","24.1","","100.73","","","","","","NA"
"2017-12-02 18:00","2017","12","02","18:00","6.0","","5.6","","97","","27","","7","","24.1","","100.77","","","","","","NA"
