"Station Name","VICTORIA INTL A"
"Province","BRITISH COLUMBIA"
"Latitude","48.65"
"Longitude","-123.43"
"Elevation","19.50"
"Climate Identifier","1018621"
"WMO Identifier","71799"
"TC Identifier","YYJ"
"All times are specified in Local Standard Time (LST). Add 1 hour to adjust for Daylight Saving Time where and when it is observed."

"Legend"
"E","Estimated"
"M","Missing"
"NA","Not Available"

"Date/Time","Year","Month","Day","Time","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"2017-02-01 00:00","2017","02","01","00:00","2.6","","-11.0","","36","","5","","21","","48.3","","102.75","","","","","","NA"
"2017-02-01 01:00","2017","02","01","01:00","2.4","","-10.9","","37","","4","","26","","48.3","","102.76","","","","","","Clear"
"2017-02-01 02:00","2017","02","01","02:00","2.5","","-11.5","","35","","5","","30","","48.3","","102.81","","","","","","NA"
"2017-02-01 03:00","2017","02","01","03:00","2.5","","-10.1","","39","","6","","33","","48.3","","102.80","","","","","","NA"
"2017-02-01 04:00","2017","02","01","04:00","2.2","","-9.8","","41","","6","","26","","48.3","","102.77","","","","","","Clear"
"2017-02-01 05:00","2017","02","01","05:00","2.0","","-11.2","","37","","5","","21","","48.3","","102.79","","","","","","NA"
"2017-02-01 06:00","2017","02","01","06:00","1.8","","-10.4","","40","","5","","25","","48.3","","102.77","","","","","","NA"
"2017-02-01 07:00","2017","02","01","07:00","1.9","","-11.3","","37","","5","","32","","48.3","","102.74","","","","","","Clear"
"2017-02-01 08:00","2017","02","01","08:00","1.9","","-11.3","","37","","5","","37","","48.3","","102.74","","","","","","NA"
"2017-02-01 09:00","2017","02","01","09:00","2.5","","-9.8","","40","","4","","19","","48.3","","102.71","","","","","","NA"
"2017-02-01 10:00","2017","02","01","10:00","3.1","","-11.3","","34","","5","","35","","48.3","","102.70","","","","","","Mainly Clear"
"2017-02-01 11:00","2017","02","01","11:00","3.8","","-11.1","","33","","4","","31","","48.3","","102.68","","","","","","NA"
"2017-02-01 12:00","2017","02","01","12:00","4.3","","-11.0","","32","","4","","30","","48.3","","102.65","","","","","","NA"
"2017-02-01 13:00","2017","02","01","13:00","4.8","","-10.6","","32","","5","","37","","48.3","","102.57","","","","","","Mainly Clear"
