"Station Name","VICTORIA INTL A"
"Province","BRITISH COLUMBIA"
"Latitude","48.65"
"Longitude","-123.43"
"Elevation","19.50"
"Climate Identifier","1018621"
"WMO Identifier","71799"
"TC Identifier","YYJ"
"All times are specified in Local Standard Time (LST). Add 1 hour to adjust for Daylight Saving Time where and when it is observed."

"Legend"
"E","Estimated"
"M","Missing"
"NA","Not Available"

"Date/Time","Year","Month","Day","Time","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"2017-01-01 00:00","2017","01","01","00:00","-0.4","","-2.2","","88","","31","","14","","32.2","","100.39","","","","-5","","NA"
"2017-01-01 01:00","2017","01","01","01:00","-0.2","","-1.3","","92","","26","","9","","32.2","","100.38","","","","-3","","Mostly Cloudy"
"2017-01-01 02:00","2017","01","01","02:00","1.6","","-0.2","","88","","30","","18","","24.1","","100.41","","","","","","NA"
"2017-01-01 03:00","2017","01","01","03:00","1.4","","-0.2","","89","","28","","18","","4.8","","100.43","","","","","","Rain,Fog"
"2017-01-01 04:00","2017","01","01","04:00","1.2","","0.1","","92","","31","","6","","12.9","","100.45","","","","","","Rain,Snow"
"2017-01-01 05:00","2017","01","01","05:00","1.7","","0.5","","92","","36","","13","","4.8","","100.47","","","","","","Rain,Snow"
"2017-01-01 06:00","2017","01","01","06:00","1.7","","1.0","","95","","35","","21","","12.9","","100.48","","","","","","Rain"
"2017-01-01 07:00","2017","01","01","07:00","2.1","","-0.3","","84","","34","","15","","24.1","","100.49","","","","","","Mostly Cloudy"
"2017-01-01 08:00","2017","01","01","08:00","2.6","","-1.0","","77","","35","","17","","48.3","","100.48","","","","","","NA"
"2017-01-01 09:00","2017","01","01","09:00","2.9","","-2.4","","68","","34","","17","","48.3","","100.56","","","","","","NA"
"2017-01-01 10:00","2017","01","01","10:00","3.5","","-2.9","","63","","1","","20","","48.3","","100.62","","","","","","Mostly Cloudy"
"2017-01-01 11:00","2017","01","01","11:00","4.7","","-7.8","","40","","1","","34","","48.3","","100.65","","","","","","NA"
"2017-01-01 12:00","2017","01","01","12:00","4.2","","-6.7","","45","","36","","31","","48.3","","100.67","","","","","","NA"
"2017-01-01 13:00","2017","01","01","13:00","4.2","","-7.3","","43","","1","","22","","48.3","","100.69","","","","","","Mostly Cloudy"
"2017-01-01 14:00","2017","01","01","14:00","3.4","","-9.3","","39","","1","","36","","48.3","","100.70","","","","","","NA"
"2017-01-01 15:00","2017","01","01","15:00","3.0","","-9.0","","41","","1","","28","","48.3","","100.73","","","","","","NA"
"2017-01-01 16:00","2017","01","01","16:00","2.6","","-9.4","","41","","1","","26","","48.3","","100.78","","","","","","Mostly Cloudy"
"2017-01-01 17:00","2017","01","01","17:00","2.2","","-9.1","","43","","1","","25","","48.3","","100.83","","","","","","NA"
"2017-01-01 18:00","2017","01","01","18:00","1.8","","-9.5","","43","","2","","29","","48.3","","100.87","","","","","","NA"
"2017-01-01 19:00","2017","01","01","19:00","1.6","","-10.6","","40","","3","","33","","48.3","","100.90","","","","","","Mostly Cloudy"
"2017-01-01 20:00","2017","01","01","20:00","1.3","","-10.9","","40","","2","","28","","32.2","","100.96","","","","","","NA"
"2017-01-01 21:00","2017","01","01","21:00","1.0","","-11.2","","40","","3","","31","","32.2","","101.02","","","","","","NA"
"2017-01-01 22:00","2017","01","01","22:00","1.0","","-11.2","","40","","2","","30","","32.2","","101.07","","","","","","Mostly Cloudy"
"2017-01-01 23:00","2017","01","01","23:00","0.9","","-11.9","","38","","3","","31","","32.2","","101.10","","","","","","NA"
"2017-01-02 00:00","2017","01","02","00:00","0.4","","-12.0","","39","","2","","28","","32.2","","101.13","","","","","","NA"
"2017-01-02 01:00","2017","01","02","01:00","0.2","","-11.9","","40","","2","","28","","32.2","","101.15","","","","","","Mainly Clear"
"2017-01-02 02:00","2017","01","02","02:00","0.2","","-11.9","","40","","3","","36","","32.2","","101.18","","","","","","NA"
"2017-01-02 03:00","2017","01","02","03:00","0.3","","-11.8","","40","","4","","31","","32.2","","101.21","","","","","","NA"
"2017-01-02 04:00","2017","01","02","04:00","0.1","","-11.4","","42","","2","","32","","32.2","","101.24","","","","","","Mainly Clear"
"2017-01-02 05:00","2017","01","02","05:00","0.0","","-11.8","","41","","2","","28","","32.2","","101.28","","","","-6","","NA"
"2017-01-02 06:00","2017","01","02","06:00","-0.1","","-12.2","","40","","3","","31","","32.2","","101.33","","","","-7","","NA"
"2017-01-02 07:00","2017","01","02","07:00","-0.1","","-12.8","","38","","3","","32","","32.2","","101.38","","","","-7","","Mainly Clear"
"2017-01-02 08:00","2017","01","02","08:00","-0.5","","-13.5","","37","","4","","34","","48.3","","101.43","","","","-8","","NA"
"2017-01-02 09:00","2017","01","02","09:00","-0.2","","-13.6","","36","","4","","39","","48.3","","101.52","","","","-8","","NA"
"2017-01-02 10:00","2017","01","02","10:00","0.2","","-13.6","","35","","5","","37","","48.3","","101.59","","","","","","Clear"
"2017-01-02 11:00","2017","01","02","11:00","0.6","","-12.9","","36","","4","","34","","48.3","","101.66","","","","","","NA"
