"Station Name","VICTORIA INTL A"
"Province","BRITISH COLUMBIA"
"Latitude","48.65"
"Longitude","-123.43"
"Elevation","19.50"
"Climate Identifier","1018621"
"WMO Identifier","71799"
"TC Identifier","YYJ"
"All times are specified in Local Standard Time (LST). Add 1 hour to adjust for Daylight Saving Time where and when it is observed."

"Legend"
"E","Estimated"
"M","Missing"
"NA","Not Available"

"Date/Time","Year","Month","Day","Time","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"2017-03-01 00:00","2017","03","01","00:00","6.2","","2.8","","79","","19","","19","","32.2","","101.73","","","","","","Rain Showers"
"2017-03-01 01:00","2017","03","01","01:00","6.7","","2.4","","74","","24","","27","","24.1","","101.77","","","","","","Rain Showers"
"2017-03-01 02:00","2017","03","01","02:00","6.4","","2.9","","78","","21","","16","","32.2","","101.85","","","","","","NA"
"2017-03-01 03:00","2017","03","01","03:00","5.8","","3.3","","84","","18","","7","","32.2","","101.90","","","","","","Rain"
"2017-03-01 04:00","2017","03","01","04:00","6.4","","2.9","","78","","21","","18","","32.2","","101.95","","","","","","Rain"
"2017-03-01 05:00","2017","03","01","05:00","5.6","","2.8","","82","","23","","9","","32.2","","102.06","","","","","","NA"
"2017-03-01 06:00","2017","03","01","06:00","5.6","","1.9","","77","","30","","6","","48.3","","102.16","","","","","","NA"
"2017-03-01 07:00","2017","03","01","07:00","4.8","","1.8","","81","","14","","7","","48.3","","102.23","","","","","","Mostly Cloudy"
"2017-03-01 08:00","2017","03","01","08:00","4.8","","2.5","","85","","23","","11","","48.3","","102.34","","","","","","Rain"
"2017-03-01 09:00","2017","03","01","09:00","6.4","","2.5","","76","","36","","3","","32.2","","102.43","","","","","","NA"
"2017-03-01 10:00","2017","03","01","10:00","6.3","","3.1","","80","","29","","5","","32.2","","102.54","","","","","","Cloudy"
"2017-03-01 11:00","2017","03","01","11:00","7.7","","3.4","","74","","26","","3","","32.2","","102.61","","","","","","NA"
"2017-03-01 12:00","2017","03","01","12:00","8.3","","3.0","","69","","20","","14","","32.2","","102.66","","","","","","NA"
"2017-03-01 13:00","2017","03","01","13:00","8.1","","3.0","","70","","21","","22","","32.2","","102.68","","","","","","Rain"
"2017-03-01 14:00","2017","03","01","14:00","7.3","","3.0","","74","","31","","14","","32.2","","102.71","","","","","","Rain"
"2017-03-01 15:00","2017","03","01","15:00","7.2","","3.1","","75","","28","","4","","32.2","","102.75","","","","","","NA"
"2017-03-01 16:00","2017","03","01","16:00","7.8","","3.3","","73","","12","","8","","32.2","","102.75","","","","","","Cloudy"
"2017-03-01 17:00","2017","03","01","17:00","7.2","","3.8","","79","","12","","10","","32.2","","102.73","","","","","","NA"
"2017-03-01 18:00","2017","03","01","18:00","6.7","","4.0","","83","","17","","13","","32.2","","102.72","","","","","","NA"
"2017-03-01 19:00","2017","03","01","19:00","6.4","","4.4","","87","","17","","19","","32.2","","102.73","","","","","","Cloudy"
"2017-03-01 20:00","2017","03","01","20:00","6.8","","3.3","","78","","19","","16","","32.2","","102.74","","","","","","NA"
"2017-03-01 21:00","2017","03","01","21:00","6.3","","2.9","","79","","21","","9","","48.3","","102.70","","","","","","NA"
"2017-03-01 22:00","2017","03","01","22:00","5.7","","3.4","","85","","24","","9","","48.3","","102.72","","","","","","Cloudy"
"2017-03-01 23:00","2017","03","01","23:00","5.8","","2.8","","81","","26","","5","","32.2","","102.68","","","","","","NA"
"2017-03-02 00:00","2017","03","02","00:00","6.3","","3.5","","82","","12","","10","","32.2","","102.65","","","","","","NA"
"2017-03-02 01:00","2017","03","02","01:00","6.0","","3.3","","83","","14","","8","","32.2","","102.61","","","","","","Cloudy"
"2017-03-02 02:00","2017","03","02","02:00","5.9","","3.4","","84","","13","","9","","32.2","","102.55","","","","","","NA"
"2017-03-02 03:00","2017","03","02","03:00","5.5","","3.5","","87","","11","","7","","32.2","","102.48","","","","","","NA"
"2017-03-02 04:00","2017","03","02","04:00","5.6","","4.3","","91","","13","","7","","32.2","","102.43","","","","","","Cloudy"
"2017-03-02 05:00","2017","03","02","05:00","5.6","","4.4","","92","","17","","13","","32.2","","102.39","","","","","","NA"
"2017-03-02 06:00","2017","03","02","06:00","5.6","","4.4","","92","","15","","8","","32.2","","102.36","","","","","","NA"
"2017-03-02 07:00","2017","03","02","07:00","5.7","","4.7","","93","","15","","8","","24.1","","102.27","","","","","","Cloudy"
"2017-03-02 08:00","2017","03","02","08:00","5.9","","4.9","","93","","14","","10","","19.3","","102.21","","","","","","NA"
"2017-03-02 09:00","2017","03","02","09:00","6.6","","4.8","","88","","16","","8","","32.2","","102.21","","","","","","Rain"
"2017-03-02 10:00","2017","03","02","10:00","6.7","","4.9","","88","","15","","12","","24.1","","102.22","","","","","","Rain"
"2017-03-02 11:00","2017","03","02","11:00","6.8","","5.4","","91","","14","","12","","19.3","","102.20","","","","","","Rain"
"2017-03-02 12:00","2017","03","02","12:00","7.0","","5.0","","87","","13","","14","","32.2","","102.13","","","","","","Rain"
"2017-03-02 13:00","2017","03","02","13:00","6.9","","5.2","","89","","13","","13","","24.1","","102.09","","","","","","Rain"
"2017-03-02 14:00","2017","03","02","14:00","7.0","","5.5","","90","","14","","13","","24.1","","102.03","","","","","","Rain"
"2017-03-02 15:00","2017","03","02","15:00","7.1","","5.7","","91","","13","","10","","24.1","","101.95","","","","","","Rain"
"2017-03-02 16:00","2017","03","02","16:00","6.6","","4.8","","88","","17","","15","","24.1","","101.88","","","","","","Rain"
"2017-03-02 17:00","2017","03","02","17:00","6.7","","4.7","","87","","18","","12","","32.2","","101.79","","","","","","Rain"
"2017-03-02 18:00","2017","03","02","18:00","6.2","","4.7","","90","","21","","11","","24.1","","101.74","","","","","","Rain"
"2017-03-02 19:00","2017","03","02","19:00","5.8","","4.3","","90","","15","","7","","32.2","","101.67","","","","","","Rain"
"2017-03-02 20:00","2017","03","02","20:00","6.0","","5.1","","94","","12","","9","","32.2","","101.63","","","","","","Rain"
"2017-03-02 21:00","2017","03","02","21:00","5.7","","4.8","","94","","18","","8","","24.1","","101.57","","","","","","Rain"
"2017-03-02 22:00","2017","03","02","22:00","5.9","","5.0","","94","","16","","11","","24.1","","101.51","","","","","","Rain"
"2017-03-02 23:00","2017","03","02","23:00","6.4","","4.9","","90","","14","","30","","24.1","","101.43","","","","","","Rain"
"2017-03-03 00:00","2017","03","03","00:00","6.6","","4.8","","88","","15","","25","","32.2","","101.33","","","","","","NA"
"2017-03-03 01:00","2017","03","03","01:00","7.0","","5.5","","90","","14","","26","","32.2","","101.25","","","","","","Cloudy"
"2017-03-03 02:00","2017","03","03","02:00","6.3","","5.0","","91","","16","","23","","32.2","","101.15","","","","","","Rain"
"2017-03-03 03:00","2017","03","03","03:00","6.8","","5.3","","90","","15","","22","","32.2","","101.09","","","","","","Rain"
"2017-03-03 04:00","2017","03","03","04:00","6.8","","5.3","","90","","14","","11","","32.2","","101.02","","","","","","Rain"
"2017-03-03 05:00","2017","03","03","05:00","7.1","","5.6","","90","","15","","17","","32.2","","100.97","","","","","","NA"
"2017-03-03 06:00","2017","03","03","06:00","7.2","","5.7","","90","","14","","17","","32.2","","100.90","","","","","","Rain"
"2017-03-03 07:00","2017","03","03","07:00","7.8","","4.6","","80","","30","","8","","32.2","","100.88","","","","","","Rain"
"2017-03-03 08:00","2017","03","03","08:00","6.9","","4.4","","84","","29","","21","","48.3","","100.89","","","","","","NA"
"2017-03-03 09:00","2017","03","03","09:00","6.0","","3.9","","86","","27","","13","","48.3","","100.85","","","","","","Rain"
"2017-03-03 10:00","2017","03","03","10:00","6.2","","3.4","","82","","28","","15","","48.3","","100.85","","","","","","Rain"
"2017-03-03 11:00","2017","03","03","11:00","6.2","","3.9","","85","","30","","8","","48.3","","100.76","","","","","","NA"
"2017-03-03 12:00","2017","03","03","12:00","6.1","","4.8","","91","","12","","12","","16.1","","100.66","","","","","","Rain"
"2017-03-03 13:00","2017","03","03","13:00","6.6","","4.8","","88","","18","","12","","12.9","","100.52","","","","","","Rain"
"2017-03-03 14:00","2017","03","03","14:00","6.0","","3.9","","86","","20","","23","","11.3","","100.38","","","","","","Rain"
"2017-03-03 15:00","2017","03","03","15:00","5.4","","3.6","","88","","21","","22","","19.3","","100.26","","","","","","Rain"
"2017-03-03 16:00","2017","03","03","16:00","5.0","","3.3","","89","","24","","18","","24.1","","100.26","","","","","","Rain"
"2017-03-03 17:00","2017","03","03","17:00","4.5","","3.3","","92","","23","","9","","48.3","","100.18","","","","","","Rain"
"2017-03-03 18:00","2017","03","03","18:00","4.2","","2.2","","87","","21","","16","","48.3","","100.08","","","","","","NA"
"2017-03-03 19:00","2017","03","03","19:00","4.0","","2.2","","88","","23","","18","","48.3","","100.09","","","","","","Mostly Cloudy"
"2017-03-03 20:00","2017","03","03","20:00","4.3","","0.5","","76","","21","","18","","48.3","","100.14","","","","","","NA"
"2017-03-03 21:00","2017","03","03","21:00","3.8","","0.1","","77","","26","","16","","48.3","","100.15","","","","","","NA"
"2017-03-03 22:00","2017","03","03","22:00","3.2","","-0.3","","78","","26","","15","","48.3","","100.24","","","","","","Mainly Clear"
"2017-03-03 23:00","2017","03","03","23:00","3.0","","-1.4","","73","","24","","22","","48.3","","100.29","","","","","","NA"
"2017-03-04 00:00","2017","03","04","00:00","2.2","","-0.6","","82","","25","","16","","48.3","","100.33","","","","","","NA"
"2017-03-04 01:00","2017","03","04","01:00","3.2","","-1.4","","72","","25","","18","","48.3","","100.37","","","","","","Mostly Cloudy"
"2017-03-04 02:00","2017","03","04","02:00","2.4","","-0.2","","83","","25","","14","","48.3","","100.42","","","","","","NA"
"2017-03-04 03:00","2017","03","04","03:00","1.5","","-0.6","","86","","26","","11","","48.3","","100.40","","","","","","NA"
"2017-03-04 04:00","2017","03","04","04:00","1.4","","-1.2","","83","","26","","10","","48.3","","100.46","","","","","","Mostly Cloudy"
"2017-03-04 05:00","2017","03","04","05:00","0.8","","-0.7","","90","","36","","2","","48.3","","100.52","","","","","","NA"
"2017-03-04 06:00","2017","03","04","06:00","-1.4","","-2.4","","93","","22","","4","","48.3","","100.54","","","","-3","","NA"
"2017-03-04 07:00","2017","03","04","07:00","-1.0","","-1.6","","96","","25","","10","","48.3","","100.53","","","","-5","","Mostly Cloudy"
"2017-03-04 08:00","2017","03","04","08:00","1.1","","-0.1","","92","","35","","5","","48.3","","100.53","","","","","","NA"
"2017-03-04 09:00","2017","03","04","09:00","3.4","","1.0","","84","","30","","13","","48.3","","100.51","","","","","","NA"
"2017-03-04 10:00","2017","03","04","10:00","3.5","","-0.9","","73","","15","","3","","48.3","","100.49","","","","","","Mainly Clear"
"2017-03-04 11:00","2017","03","04","11:00","4.4","","0.7","","77","","11","","14","","48.3","","100.46","","","","","","NA"
"2017-03-04 12:00","2017","03","04","12:00","5.4","","1.2","","74","","10","","15","","48.3","","100.43","","","","","","NA"
