"ï»¿""Station Name""",VICTORIA INTL A,,,,,,,,,,,,,,,,,,,,,,
Province,BRITISH COLUMBIA,,,,,,,,,,,,,,,,,,,,,,
Latitude,48.65,,,,,,,,,,,,,,,,,,,,,,
Longitude,-123.43,,,,,,,,,,,,,,,,,,,,,,
Elevation,19.5,,,,,,,,,,,,,,,,,,,,,,
Climate Identifier,1018621,,,,,,,,,,,,,,,,,,,,,,
WMO Identifier,71799,,,,,,,,,,,,,,,,,,,,,,
TC Identifier,YYJ,,,,,,,,,,,,,,,,,,,,,,
All times are specified in Local Standard Time (LST). Add 1 hour to adjust for Daylight Saving Time where and when it is observed.,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Legend,,,,,,,,,,,,,,,,,,,,,,,
E,Estimated,,,,,,,,,,,,,,,,,,,,,,
M,Missing,,,,,,,,,,,,,,,,,,,,,,
NA,Not Available,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Date/Time,Year,Month,Day,Time,Temp (Â°C),Temp Flag,Dew Point Temp (Â°C),Dew Point Temp Flag,Rel Hum (%),Rel Hum Flag,Wind Dir (10s deg),Wind Dir Flag,Wind Spd (km/h),Wind Spd Flag,Visibility (km),Visibility Flag,Stn Press (kPa),Stn Press Flag,Hmdx,Hmdx Flag,Wind Chill,Wind Chill Flag,Weather
17-05-01 0:00,2017,5,1,0:00,8.5,,4.2,,74,,28,,16,,48.3,,102.43,,,,,,NA
17-05-01 1:00,2017,5,1,1:00,7.6,,4.4,,80,,24,,9,,32.2,,102.38,,,,,,Mostly Cloudy
17-05-01 2:00,2017,5,1,2:00,7.1,,4.4,,83,,21,,7,,32.2,,102.35,,,,,,NA
17-05-01 3:00,2017,5,1,3:00,7.2,,4.5,,83,,25,,9,,32.2,,102.35,,,,,,NA
17-05-01 4:00,2017,5,1,4:00,6.8,,5,,88,,25,,7,,32.2,,102.32,,,,,,Cloudy
17-05-01 5:00,2017,5,1,5:00,6.8,,4.8,,87,,25,,7,,48.3,,102.27,,,,,,NA
17-05-01 6:00,2017,5,1,6:00,7.5,,4.5,,81,,15,,5,,48.3,,102.2,,,,,,NA
17-05-01 7:00,2017,5,1,7:00,8.2,,4.6,,78,,9,,7,,48.3,,102.17,,,,,,Cloudy
17-05-01 8:00,2017,5,1,8:00,8.9,,5.1,,77,,14,,6,,48.3,,102.13,,,,,,NA
17-05-01 9:00,2017,5,1,9:00,9.3,,6.4,,82,,13,,10,,48.3,,102.13,,,,,,Rain
17-05-01 10:00,2017,5,1,10:00,8.7,,7.2,,90,,12,,10,,24.1,,102.13,,,,,,Rain
17-05-01 11:00,2017,5,1,11:00,8.6,,6.4,,86,,13,,4,,32.2,,102.14,,,,,,Rain
17-05-01 12:00,2017,5,1,12:00,8.5,,6.6,,88,,36,,3,,19.3,,102.13,,,,,,Rain
17-05-01 13:00,2017,5,1,13:00,9.2,,6.3,,82,,13,,10,,32.2,,102.07,,,,,,Rain
17-05-01 14:00,2017,5,1,14:00,10.2,,6,,75,,10,,10,,48.3,,102.04,,,,,,NA
17-05-01 15:00,2017,5,1,15:00,10.8,,6.6,,75,,11,,13,,48.3,,101.97,,,,,,NA
17-05-01 16:00,2017,5,1,16:00,10.2,,4.4,,67,,12,,12,,48.3,,101.94,,,,,,Mainly Clear
17-05-01 17:00,2017,5,1,17:00,10.5,,5.7,,72,,10,,10,,48.3,,101.96,,,,,,NA
17-05-01 18:00,2017,5,1,18:00,9.2,,6,,80,,9,,10,,48.3,,101.97,,,,,,NA
17-05-01 19:00,2017,5,1,19:00,8.7,,6,,83,,12,,6,,48.3,,101.95,,,,,,Mostly Cloudy
17-05-01 20:00,2017,5,1,20:00,7.4,,6,,91,,36,,2,,48.3,,101.99,,,,,,NA
17-05-01 21:00,2017,5,1,21:00,5.8,,4.9,,94,,36,,3,,48.3,,102.02,,,,,,NA
17-05-01 22:00,2017,5,1,22:00,5.6,,5.2,,97,,36,,2,,48.3,,101.98,,,,,,Mostly Cloudy
17-05-01 23:00,2017,5,1,23:00,5.2,,4.8,,97,,30,,4,,48.3,,101.98,,,,,,NA
17-05-02 0:00,2017,5,2,0:00,4.2,,3.9,,98,,24,,4,,48.3,,101.99,,,,,,NA
17-05-02 1:00,2017,5,2,1:00,4.5,,4.2,,98,,25,,9,,48.3,,101.99,,,,,,Mainly Clear
17-05-02 2:00,2017,5,2,2:00,4.8,,4.5,,98,,24,,9,,48.3,,102.01,,,,,,NA
17-05-02 3:00,2017,5,2,3:00,6.1,,5.7,,97,,30,,9,,32.2,,102.05,,,,,,NA
17-05-02 4:00,2017,5,2,4:00,6.3,,5.7,,96,,24,,8,,32.2,,102.07,,,,,,Mostly Cloudy
17-05-02 5:00,2017,5,2,5:00,6.1,,5.2,,94,,25,,5,,48.3,,102.06,,,,,,NA
17-05-02 6:00,2017,5,2,6:00,6.1,,5.4,,95,,28,,7,,48.3,,102.09,,,,,,NA
17-05-02 7:00,2017,5,2,7:00,8.1,,6.7,,91,,28,,7,,48.3,,102.11,,,,,,Mainly Clear
17-05-02 8:00,2017,5,2,8:00,9.8,,6.9,,82,,31,,7,,48.3,,102.11,,,,,,NA
17-05-02 9:00,2017,5,2,9:00,10.9,,6.3,,73,,5,,14,,48.3,,102.1,,,,,,NA
17-05-02 10:00,2017,5,2,10:00,11.4,,6.6,,72,,6,,12,,48.3,,102.1,,,,,,Mostly Cloudy
17-05-02 11:00,2017,5,2,11:00,12.7,,6.6,,66,,6,,9,,48.3,,102.08,,,,,,NA
17-05-02 12:00,2017,5,2,12:00,12.5,,6.2,,65,,5,,8,,48.3,,102.06,,,,,,NA
17-05-02 13:00,2017,5,2,13:00,12.3,,5.7,,64,,36,,1,,48.3,,102.04,,,,,,Mostly Cloudy
17-05-02 14:00,2017,5,2,14:00,12.8,,7.3,,69,,36,,2,,48.3,,102,,,,,,NA
17-05-02 15:00,2017,5,2,15:00,13.4,,8.1,,70,,30,,3,,48.3,,101.98,,,,,,NA
17-05-02 16:00,2017,5,2,16:00,13.6,,8.7,,72,,11,,7,,48.3,,101.94,,,,,,Cloudy
17-05-02 17:00,2017,5,2,17:00,13.4,,8.1,,70,,16,,7,,48.3,,101.94,,,,,,Rain
17-05-02 18:00,2017,5,2,18:00,12.7,,8.6,,76,,13,,5,,48.3,,101.88,,,,,,Rain
17-05-02 19:00,2017,5,2,19:00,12.3,,9.2,,81,,30,,4,,48.3,,101.86,,,,,,Rain
17-05-02 20:00,2017,5,2,20:00,11.7,,8.8,,82,,36,,3,,32.2,,101.87,,,,,,Rain
17-05-02 21:00,2017,5,2,21:00,11,,10.2,,95,,36,,3,,24.1,,101.89,,,,,,Rain
17-05-02 22:00,2017,5,2,22:00,10.7,,10.1,,96,,29,,5,,19.3,,101.87,,,,,,Rain
17-05-02 23:00,2017,5,2,23:00,10.6,,10.2,,97,,27,,4,,11.3,,101.83,,,,,,Rain
17-05-03 0:00,2017,5,3,0:00,10.6,,10.3,,98,,28,,7,,6.4,,101.8,,,,,,"Rain,Fog"
17-05-03 1:00,2017,5,3,1:00,10.4,,10.1,,98,,28,,10,,6.4,,101.81,,,,,,"Rain,Fog"
17-05-03 2:00,2017,5,3,2:00,10.3,,10,,98,,26,,7,,6.4,,101.83,,,,,,"Rain,Fog"
17-05-03 3:00,2017,5,3,3:00,10.4,,10.1,,98,,25,,5,,12.9,,101.83,,,,,,Rain
17-05-03 4:00,2017,5,3,4:00,10.6,,10.2,,97,,36,,1,,12.9,,101.82,,,,,,Rain
17-05-03 5:00,2017,5,3,5:00,10.7,,10.3,,97,,36,,2,,6.4,,101.84,,,,,,Fog
17-05-03 6:00,2017,5,3,6:00,11,,10.7,,98,,11,,5,,4.8,,101.86,,,,,,Fog
17-05-03 7:00,2017,5,3,7:00,10.6,,10.3,,98,,10,,9,,2,,101.88,,,,,,"Rain,Fog"
17-05-03 8:00,2017,5,3,8:00,10.9,,10.6,,98,,11,,12,,2,,101.92,,,,,,Fog
17-05-03 9:00,2017,5,3,9:00,10.6,,10.2,,97,,12,,13,,8.1,,101.95,,,,,,Fog
17-05-03 10:00,2017,5,3,10:00,11.2,,10.4,,95,,13,,10,,8.1,,101.97,,,,,,Fog
17-05-03 11:00,2017,5,3,11:00,12.4,,11.3,,93,,14,,12,,8.1,,101.97,,,,,,Fog
17-05-03 12:00,2017,5,3,12:00,12.9,,11.8,,93,,12,,10,,8.1,,101.94,,,,,,Fog
17-05-03 13:00,2017,5,3,13:00,13.7,,12.1,,90,,8,,4,,12.9,,101.93,,,,,,Cloudy
17-05-03 14:00,2017,5,3,14:00,15.9,,13.4,,85,,7,,6,,16.1,,101.92,,,,,,NA
17-05-03 15:00,2017,5,3,15:00,15.3,,12.6,,84,,9,,9,,19.3,,101.86,,,,,,NA
17-05-03 16:00,2017,5,3,16:00,14.7,,12.4,,86,,8,,13,,12.9,,101.8,,,,,,Cloudy
17-05-03 17:00,2017,5,3,17:00,13.3,,12.5,,95,,7,,9,,2,,101.78,,,,,,Fog
17-05-03 18:00,2017,5,3,18:00,13.5,,12.6,,94,,2,,5,,4.8,,101.69,,,,,,Fog
17-05-03 19:00,2017,5,3,19:00,13.6,,12.8,,95,,3,,7,,8.1,,101.64,,,,,,Fog
17-05-03 20:00,2017,5,3,20:00,13.6,,13,,96,,28,,7,,9.7,,101.61,,,,,,Fog
17-05-03 21:00,2017,5,3,21:00,12.8,,12.3,,97,,28,,9,,19.3,,101.57,,,,,,NA
17-05-03 22:00,2017,5,3,22:00,12.9,,12.4,,97,,27,,9,,19.3,,101.55,,,,,,Mostly Cloudy
17-05-03 23:00,2017,5,3,23:00,12.6,,12.1,,97,,31,,11,,19.3,,101.53,,,,,,NA
17-05-04 0:00,2017,5,4,0:00,12.1,,11.8,,98,,28,,8,,24.1,,101.49,,,,,,NA
17-05-04 1:00,2017,5,4,1:00,10.8,,10.5,,98,,27,,5,,32.2,,101.43,,,,,,Mainly Clear
17-05-04 2:00,2017,5,4,2:00,10.3,,10.2,,99,,26,,4,,32.2,,101.38,,,,,,NA
17-05-04 3:00,2017,5,4,3:00,10.3,,10.2,,99,,28,,3,,32.2,,101.32,,,,,,NA
17-05-04 4:00,2017,5,4,4:00,10.2,,10.2,,100,,27,,8,,0.8,,101.32,,,,,,Fog
17-05-04 5:00,2017,5,4,5:00,9.8,,9.8,,100,,28,,7,,24.1,,101.28,,,,,,NA
17-05-04 6:00,2017,5,4,6:00,11.4,,11.4,,100,,23,,5,,48.3,,101.24,,,,,,NA
17-05-04 7:00,2017,5,4,7:00,12.9,,12.8,,99,,28,,5,,48.3,,101.26,,,,,,Mainly Clear
17-05-04 8:00,2017,5,4,8:00,15.8,,12.6,,81,,2,,7,,48.3,,101.23,,,,,,NA
