"Station Name","VICTORIA INTL A"
"Province","BRITISH COLUMBIA"
"Latitude","48.65"
"Longitude","-123.43"
"Elevation","19.50"
"Climate Identifier","1018621"
"WMO Identifier","71799"
"TC Identifier","YYJ"
"All times are specified in Local Standard Time (LST). Add 1 hour to adjust for Daylight Saving Time where and when it is observed."

"Legend"
"E","Estimated"
"M","Missing"
"NA","Not Available"

"Date/Time","Year","Month","Day","Time","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"2017-10-01 00:00","2017","10","01","00:00","9.5","","8.8","","95","","27","","5","","19.3","","101.68","","","","","","NA"
"2017-10-01 01:00","2017","10","01","01:00","9.4","","8.9","","97","","27","","7","","24.1","","101.70","","","","","","Mainly Clear"
"2017-10-01 02:00","2017","10","01","02:00","9.6","","8.8","","95","","28","","12","","24.1","","101.68","","","","","","NA"
"2017-10-01 03:00","2017","10","01","03:00","9.7","","8.7","","94","","31","","13","","24.1","","101.71","","","","","","NA"
"2017-10-01 04:00","2017","10","01","04:00","9.4","","8.7","","95","","28","","8","","24.1","","101.74","","","","","","Mostly Cloudy"
"2017-10-01 05:00","2017","10","01","05:00","9.0","","8.2","","95","","25","","9","","24.1","","101.74","","","","","","NA"
"2017-10-01 06:00","2017","10","01","06:00","9.4","","7.8","","90","","29","","14","","24.1","","101.76","","","","","","NA"
"2017-10-01 07:00","2017","10","01","07:00","10.2","","7.7","","84","","27","","21","","32.2","","101.78","","","","","","Mostly Cloudy"
"2017-10-01 08:00","2017","10","01","08:00","11.0","","7.8","","81","","29","","13","","48.3","","101.82","","","","","","NA"
"2017-10-01 09:00","2017","10","01","09:00","12.1","","8.3","","78","","29","","13","","48.3","","101.83","","","","","","NA"
"2017-10-01 10:00","2017","10","01","10:00","13.8","","7.3","","64","","29","","12","","48.3","","101.83","","","","","","Mostly Cloudy"
"2017-10-01 11:00","2017","10","01","11:00","15.5","","7.0","","57","","30","","22","","48.3","","101.83","","","","","","NA"
"2017-10-01 12:00","2017","10","01","12:00","16.7","","7.0","","53","","34","","14","","48.3","","101.83","","","","","","NA"
"2017-10-01 13:00","2017","10","01","13:00","16.1","","7.0","","55","","1","","12","","48.3","","101.84","","","","","","Mostly Cloudy"
"2017-10-01 14:00","2017","10","01","14:00","16.4","","5.8","","49","","26","","9","","48.3","","101.80","","","","","","NA"
"2017-10-01 15:00","2017","10","01","15:00","16.1","","6.8","","54","","15","","9","","48.3","","101.79","","","","","","NA"
"2017-10-01 16:00","2017","10","01","16:00","16.1","","6.6","","53","","8","","7","","48.3","","101.79","","","","","","Mainly Clear"
"2017-10-01 17:00","2017","10","01","17:00","14.6","","7.3","","61","","7","","9","","48.3","","101.81","","","","","","NA"
"2017-10-01 18:00","2017","10","01","18:00","12.4","","7.2","","70","","15","","5","","48.3","","101.84","","","","","","NA"
