"Station Name","VICTORIA INTL A"
"Province","BRITISH COLUMBIA"
"Latitude","48.65"
"Longitude","-123.43"
"Elevation","19.50"
"Climate Identifier","1018621"
"WMO Identifier","71799"
"TC Identifier","YYJ"
"All times are specified in Local Standard Time (LST). Add 1 hour to adjust for Daylight Saving Time where and when it is observed."

"Legend"
"E","Estimated"
"M","Missing"
"NA","Not Available"

"Date/Time","Year","Month","Day","Time","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"2017-09-01 00:00","2017","09","01","00:00","12.3","","10.4","","88","","31","","3","","32.2","","101.81","","","","","","NA"
"2017-09-01 01:00","2017","09","01","01:00","11.8","","10.2","","90","","36","","1","","48.3","","101.81","","","","","","Clear"
"2017-09-01 02:00","2017","09","01","02:00","11.5","","10.3","","92","","33","","4","","48.3","","101.81","","","","","","NA"
"2017-09-01 03:00","2017","09","01","03:00","11.5","","10.3","","92","","36","","1","","48.3","","101.82","","","","","","NA"
"2017-09-01 04:00","2017","09","01","04:00","11.3","","10.4","","94","","36","","1","","48.3","","101.84","","","","","","Clear"
"2017-09-01 05:00","2017","09","01","05:00","10.8","","9.8","","93","","26","","3","","48.3","","101.85","","","","","","NA"
"2017-09-01 06:00","2017","09","01","06:00","11.5","","10.4","","93","","25","","5","","48.3","","101.88","","","","","","NA"
"2017-09-01 07:00","2017","09","01","07:00","14.7","","12.8","","89","","29","","6","","48.3","","101.95","","","","","","Clear"
"2017-09-01 08:00","2017","09","01","08:00","16.5","","13.0","","79","","28","","4","","48.3","","101.96","","","","","","NA"
"2017-09-01 09:00","2017","09","01","09:00","18.3","","13.3","","72","","10","","9","","48.3","","101.96","","","","","","NA"
"2017-09-01 10:00","2017","09","01","10:00","19.8","","14.0","","69","","8","","8","","48.3","","101.97","","","","","","Clear"
"2017-09-01 11:00","2017","09","01","11:00","20.6","","13.4","","63","","7","","8","","48.3","","101.92","","","","","","NA"
"2017-09-01 12:00","2017","09","01","12:00","21.8","","13.5","","59","","10","","13","","48.3","","101.84","","25","","","","NA"
"2017-09-01 13:00","2017","09","01","13:00","21.9","","12.7","","55","","10","","14","","48.3","","101.80","","25","","","","Clear"
"2017-09-01 14:00","2017","09","01","14:00","22.8","","10.9","","46","","8","","12","","48.3","","101.73","","25","","","","NA"
"2017-09-01 15:00","2017","09","01","15:00","23.6","","10.1","","42","","10","","12","","48.3","","101.68","","25","","","","NA"
"2017-09-01 16:00","2017","09","01","16:00","23.6","","11.5","","46","","9","","10","","48.3","","101.63","","26","","","","Clear"
"2017-09-01 17:00","2017","09","01","17:00","23.2","","12.2","","49","","10","","9","","48.3","","101.58","","26","","","","NA"
"2017-09-01 18:00","2017","09","01","18:00","21.4","","11.2","","52","","12","","9","","48.3","","101.53","","","","","","NA"
"2017-09-01 19:00","2017","09","01","19:00","19.6","","11.2","","58","","9","","7","","48.3","","101.49","","","","","","Mainly Clear"
"2017-09-01 20:00","2017","09","01","20:00","17.8","","11.8","","67","","19","","4","","48.3","","101.52","","","","","","NA"
"2017-09-01 21:00","2017","09","01","21:00","17.7","","12.8","","73","","30","","5","","48.3","","101.52","","","","","","NA"
"2017-09-01 22:00","2017","09","01","22:00","16.8","","13.1","","79","","29","","4","","48.3","","101.52","","","","","","Clear"
"2017-09-01 23:00","2017","09","01","23:00","16.3","","12.4","","77","","0","","1","","48.3","","101.50","","","","","","NA"
"2017-09-02 00:00","2017","09","02","00:00","15.0","","11.6","","80","","24","","7","","48.3","","101.49","","","","","","NA"
"2017-09-02 01:00","2017","09","02","01:00","15.8","","11.7","","76","","28","","6","","48.3","","101.50","","","","","","Clear"
"2017-09-02 02:00","2017","09","02","02:00","15.6","","12.1","","80","","27","","7","","48.3","","101.51","","","","","","NA"
"2017-09-02 03:00","2017","09","02","03:00","14.7","","11.7","","82","","25","","8","","48.3","","101.47","","","","","","NA"
"2017-09-02 04:00","2017","09","02","04:00","15.3","","12.1","","81","","28","","10","","48.3","","101.46","","","","","","Clear"
"2017-09-02 05:00","2017","09","02","05:00","15.1","","12.5","","84","","26","","9","","48.3","","101.45","","","","","","NA"
"2017-09-02 06:00","2017","09","02","06:00","15.2","","12.9","","86","","26","","8","","48.3","","101.44","","","","","","NA"
"2017-09-02 07:00","2017","09","02","07:00","17.1","","13.4","","78","","28","","7","","48.3","","101.47","","","","","","Clear"
"2017-09-02 08:00","2017","09","02","08:00","19.6","","13.4","","67","","28","","4","","48.3","","101.46","","","","","","NA"
"2017-09-02 09:00","2017","09","02","09:00","22.4","","13.3","","56","","36","","3","","48.3","","101.43","","25","","","","NA"
"2017-09-02 10:00","2017","09","02","10:00","22.9","","13.0","","53","","9","","9","","48.3","","101.45","","26","","","","Clear"
"2017-09-02 11:00","2017","09","02","11:00","24.0","","12.2","","47","","9","","12","","48.3","","101.43","","26","","","","NA"
"2017-09-02 12:00","2017","09","02","12:00","25.4","","11.9","","42","","10","","11","","48.3","","101.38","","28","","","","NA"
"2017-09-02 13:00","2017","09","02","13:00","25.4","","11.3","","41","","10","","12","","48.3","","101.36","","27","","","","Clear"
"2017-09-02 14:00","2017","09","02","14:00","26.0","","11.6","","40","","12","","10","","48.3","","101.33","","28","","","","NA"
"2017-09-02 15:00","2017","09","02","15:00","25.7","","11.4","","40","","12","","12","","48.3","","101.27","","28","","","","NA"
"2017-09-02 16:00","2017","09","02","16:00","24.7","","13.5","","49","","12","","13","","48.3","","101.21","","28","","","","Clear"
